decision,borrowers,borrower_pct,mean_predicted_probability,observed_default_rate,observed_defaults
Approve,7228,47.63097199341021,0.08213515571166924,0.08342556723851688,603
Reject,1488,9.805601317957166,0.38857132204741673,0.34206989247311825,509
Review,6459,42.563426688632624,0.20361222511057814,0.20018578727357175,1293
