representation,roc_auc,pr_auc,brier_score,delta_roc_auc,delta_pr_auc,brier_improvement
Structured + TF-IDF,0.6833567824797269,0.2787944814762225,0.126090033445769,0.005351582532475252,0.003146932632947408,0.000398699099781602
Structured + BERT,0.6851757546354258,0.2762568503404418,0.1268802839116146,0.00717055468817418,0.0006093014971667032,-0.0003915513660640024
