representation,roc_auc,pr_auc,brier_score
TF-IDF text-only,0.5714658022880419,0.1944705375400544,0.1323387560251679
BERT text-only,0.585692916577803,0.20140061284494143,0.13239818518335483
Structured-only,0.6780051999472516,0.27564754884327514,0.1264887325455506
Structured + TF-IDF,0.6833567824797269,0.2787944814762225,0.12609003344576905
Structured + BERT,0.6851757546354258,0.2762568503404418,0.12688028391161468
