model,roc_auc,pr_auc,brier_score,ece_10_bins
Raw XGBoost,0.7089917964172171,0.31035696413650704,0.12451462806609727,0.032014587683872525
Sigmoid-calibrated XGBoost,0.7089917964172171,0.31035696413650704,0.12964469568190723,0.07017131101294524
Isotonic-calibrated XGBoost,0.7089063157869014,0.30614811422174193,0.12850186992503276,0.06605144962291332
