model,roc_auc,pr_auc,brier_score,ece_10_bins
XGBoost,0.7089917964172171,0.31035696413650704,0.12451462806609727,0.032014587683872525
Logistic Regression,0.6744529579580822,0.2664179944208217,0.12923334416733212,0.030430140186190176
