model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,predicted_default_pct
Logistic Regression - Validation,0.7719255759007678,0.5598567912284628,0.0639113109226525,0.11472590962239494,0.6924057186418493,0.38963240904637936,0.16511296878337545,2.6396928529238037
Logistic Regression - Test,0.8358224858375806,0.3745019920318725,0.06360663132964926,0.10874385423696134,0.6744529579580822,0.2664179944208217,0.12923334416733212,2.67443305926018
Balanced Logistic Regression - Validation,0.6528765505020674,0.3543343331452499,0.6095585981403903,0.4481567036640562,0.6923136716417678,0.38819672182890924,0.21721826501607863,39.77909037212049
Balanced Logistic Regression - Test,0.6623395073786649,0.24922149177005584,0.5686252396526447,0.34655302769949825,0.6748660190570472,0.2652379183418746,0.21463549397223003,35.92726110351441
